Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
"BSNL internet is ghastly, can't even open a webpage, forget work from home. What am I paying for? Fraud company!",BSNL Broadband,Tech & Telecommunications,High,9.0
"I  have been using HDFC salary account for almost 1 year. They have provided me a Internet banking, mobile banking. Its a hassle free service . Branch service and responsiveness was not good, need to improve in service and also they are charging high interest.",HDFC Bank,Banking,Low,2.0
✅ Trip Verified | Flights are always late in my experience of boarding 6 international and 10 plus domestic flights from same airline. Ground crew as well fight staff are rude. Inefficient communication via e-system (Apps/site/SMS/email) as well as inform of announcement on Gates. Extremely bad inflight entertainment and poor hygiene in general. Overall be ready for a very stressful travel if you choose this Airline.,AirIndia,Aviation,High,8.0
"Bhole! JioFiber install karwaya tha, bol rahe the 24x7 support hai, ab teen din se internet nahi hai aur koi utha nahi raha call. Sharam karo!",JioFiber Broadband,Tech & Telecommunications,High,9.0
Worst customer support. Cannot deliver on time.,Zomato Food Delivery,Food & Beverage,Medium,5.0
"✅ Trip Verified |  Kolkata to Mumbai. I had a wheelchair passenger. Indigo provided no help getting onto the flight to Mumbai on Nov, 15. She had to walk to the gate. They issued the boarding pass but didn't wait for us and closed the gate 35 minutes before departure. They then charged me extra Rs.6500 to get us on to another flight. I have noticed the exact same happening to another senior citizen couple at the Mumbai airport on Nov 28th. When I objected they issued two tickets to the couple for free. Indigo seems to be cheating elderly people using this technique.",IndiGo,Aviation,High,10.0
Not Verified |  I have booked my direct flight to Delhi from Guwahati in evening. But don't know why these guys at SpiceJet preponed my flight by 12 hours and scheduled in morning 5:30 from evening 6. Not only this as a replacement these guys are giving a connecting flight via Patna as per there own convenience. This pathetic service is not acceptable at all.,SpiceJet,Aviation,High,9.0
it's worst . zomato play with ur hunger..they accept group orders which is too bad. because taking group orders specific from mcd is not worth the money...ur food gets cold..u pay for hot.serve food and they dnt fulfil it.. kindly close ur system soon...it's not worth it...just making fool by things done on time..this is many time ur app has delayed the order..the time given and the time they diliver doesn't match anytime ..just to earn money dnt play with the customer 😡,Zomato Food Delivery,Food & Beverage,Medium,6.0
"Not Verified |  Even after the flight was delayed 5 hours, there was no food, no water, and it was like yesterday, everything was very bad in SpiceJet. I have come to Bhubaneshwar to Delhi earlier this time and even though I was late for 3 hours, I have never checked the book before Even if someone gives me crores of rupees, I will not book again. Spicejet is a third class service, they also charge more money.",SpiceJet,Aviation,High,8.5
"this app sucks, every item is 100 and 120 rupees expensive and take soo much time like almost 2hrs and don't even provide cash on delivery facility",Zomato Food Delivery,Food & Beverage,Medium,7.0
in every festivals zomato give very very very bad sarvice,Zomato Food Delivery,Food & Beverage,Medium,5.5
Mobile banking app update ke baad se slow ho gayi hai aur hang hoti rehti hai. Koi kaam nahi ho pa raha!,Union Bank of India Mobile Banking,Banking,High,8.5
Minimum balance maintain nahi kiya to itne charges laga diye. SMS bhi nahi kiya pehle. Looters!,Federal Bank Minimum Balance,Banking,High,7.5
"Crossword se novel order ki, purana edition bhej diya. Latest edition chahiye tha. ध्यान kidhar hai inka?",Crossword Books,Retail,Medium,5.0
"✅ Trip Verified | Flight delayed around 1.5 hrs and when enquired about reasons, ground staff answers very rude in Gate 8. Not a customer caring staff in a service industry that too in airlines. Culture of Indigo reflects in this kind of staff behavior.",IndiGo,Aviation,High,7.0
"✅ Trip Verified | Kolkata to Delhi. Worst airline ever. Always delayed. Not just one-off case but all flights are delayed. They do not even give prior intimation to passengers for the delay and was informed via message just 15 mins before the scheduled boarding time that flight is delayed by 2 hours. No bad weather or any unusual conditions, rather just a regular casual attitude. The flight will not land in Delhi at 3 am in the morning and it's so unsafe to travel at this time in the city. Only Hassle to passengers without any compensation or facility by them. Not even a sorry.",SpiceJet,Aviation,High,9.0
"it charges with multiple amount which make a price high of any other like platform fee, too much in delivery, handling fee, and tax also",Zomato Food Delivery,Food & Beverage,Low,3.0
this app is a cheat doesnot have proper refund policy..i order for jamshedpur they accepted the payment and said they cannot deliver at the address and my entire payment has been wasted,Zomato Food Delivery,Food & Beverage,High,8.0
Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason,Mobile Application,Tech & Telecommunications,High,8.0
"I use both Zomato and Swiggy, and I’ve always noticed that my Zomato orders are delivered late, while Swiggy orders are always delivered on time. Even when the order is delayed, Zomato’s support team never provides any proper help. I won’t consider ordering from Zomato again.",Zomato Food Delivery,Food & Beverage,Medium,6.0
fraud app onky money launderer keep money on ur chest when u die and go . fake app worsttttt,Zomato Food Delivery,Food & Beverage,High,9.0
"Zomato harasses itcustomers using AI bots that provides unnecessary information, and is totally useless. Their Bot despite requesting multiple times doesn't allow the call to be connected with a customer care executive.....Absolutely disgusting way to treat customers",Zomato Food Delivery,Food & Beverage,Medium,5.0
"Surge fee, festive platform fee and bla bla, still delivers food in 2 hours.",Zomato Food Delivery,Food & Beverage,Medium,6.0
Demat account se shares gayab ho gaye. Koi notification nahi aaya. Yeh to seedha chori hai!,Zerodha Demat Account (Bank Link),Banking,High,10.0
"Bought shoes from Adidas store, the sole came off in a month. Such low quality for such high price. Paise barbaad!",Adidas Shoes,Retail,Medium,7.0
"Axis bank has limited options in menu of Customer support, this means they do not welcome any other query apart from set menu, their phone banking numbers are useless they doesnt provide any extra info or let us speak to customer support executive. Neither there is option to write a mail regarding our issue.We have to directly visit bank branch which is not always possible as the office time of the branch and our work time are same. Do they expect us to visit branch for every issues to get resolved. aleast let us write about our issue.This is really disgusting. And i wasted my time calling customer support and downloaded app for solution but there also they have limited options. There are more issues we face such as non deduction( auto debit) of set payments on decided date . where should we complain. Should we pay penalty for non payments on due date by bank and take off from our office to visit axis bank branch to report work not done by the bank.",Axis Bank,Banking,High,8.5
where are the restaurant reviews? when I click on the rating the review section doesn't open,Zomato Food Delivery,Food & Beverage,Low,3.0
My book from Crossword online store had pages torn. Kya service hai?,Crossword Online Book,Retail,Medium,6.5
"Swiggy Instamart se fruits order kiye, adhe se zyada gande the. Poora kachra bheja hai.",Swiggy Instamart Fruits,Retail,High,8.0
"✅ Trip Verified |  Our 4 flights got cancelled by Go First. They said it’s national emergency…what they mean national emergency - other flights were available on that day, government also not declared about it. We are going through a lot of financial and mental stress. We paid extra 40k for other flights booking.",Go First,Aviation,High,10.0
Wrost please don't order from zomato.,Zomato Food Delivery,Food & Beverage,Low,2.0
✅ Trip Verified | I was travelling with my wife and 6 months old baby. While checking in from Cochin the ground staff at the counter gave us seats [19F and 19C] saying it’s seated together. Later I realised she did a mistake and it should be 19D. I was walking through the airport randomly looking for your staff to sort this issue out and found one of your agents. She looked through it and tried from her end and told me it won’t be possible at this time as other seats are already occupied and you can do it on board and there is a lady seated at 19D. I told her my daughter is already tired from the Male flight and it’s important for us to sit together. She understood our situation and told she will try her best. At time of boarding I explained the same situation to boarding agent. She replied the same saying you should try it on board as nothing she could do it now. There comes the pleasant surprise! This staff member came all the way to our gate which she doesn’t have to bother doing at all. She literally looked for the passenger seated at 19D and talked to her and agreed to swap seats with mine. I was very much overwhelmed with her genuine concern towards our issue and how she went well and above to sort this out for us. Please pass my sincere gratitude to her. She deserves it. However on other hand on board it was totally opposite experience. I know it’s a short flight to CNN but crew didn’t make any effort to do the service for this flight. They didn’t took the food cart out to the aisle or neither brought the round of water at least. They were just busy in the galley throughout until landing. I never even saw them securing the cabin! When the captain made announcements they went to the seat ready for landing. In contrast on the CNN to COK flight I received full service like any other flight and I was amazed the way they ignored the cabin just like that inspite of full flight.,IndiGo,Aviation,Medium,5.0
"Not Verified |  I went for boarding passes and I ask for front row because of my daughter. First told me they can provide me only one seat that time, they don’t told me about the charges of the seat. Another staff named came and told me to pay for that seat but when I am travelling from Kolkata to Bangalore only 2 days ago in the same airline they have not charged for the front row Why the rules are different in same airline. Worst staff service, its better to fly in Indigo",Air India Express,Aviation,Medium,4.0
"✅ Trip Verified |  Bangalore to Muscat. Please don't travel in this airline. I have been waiting for refund around 12000rs since last 1 year, every time when we call customer care they will tell some stories.",AirIndia,Aviation,High,9.0
"Pepperfry se study table order ki, assemble karne mein parts missing the. Poora time barbaad.",Pepperfry Study Table,Retail,Medium,6.0
"I am having my salary account with HDFC bank for the past  5 years. Though its salary account, I need to maintain a minimum balance of 10K on monthly if not maintain charges are nominal. I am not getting any alert message.  Atm and branch's are far away from my place. There are SMS and ATM charges.",HDFC Bank,Banking,Low,3.0
Gets the job done (or doesn't sometime). The distance from the restaurant to delivery location shown before ordering is very inaccurate. This leads to lot of confusion and delayed delivery,Zomato Food Delivery,Food & Beverage,Medium,5.0
"Not Verified |  The ticket was from Bali to Mumbai with a 12 hrs layover at Bangalore airport. The terminals were supposed to be changed. As we de-boarded at Bangalore T2 airport, the airline gave us no clue that we have to wait for 12 hrs outside T1 airport, which was ridiculous. We asked them to help us out to at least make us wait in the lobby area of the airport, that also they were not ready to accept and said you have booked tickets, you shall know. The ground staff at Bangalore was rude.",IndiGo,Aviation,High,8.0
✅ Trip Verified |  The absolute worst airline. The Luggage is handled in a way that you might start to pity what you are carrying. Amazingly they will ask you to weigh you handbag and if you happen to carry a laptop along with a few other electronic devices they will say anything to charge you extra. Opt for this airline only if you have no other option.,SpiceJet,Aviation,Medium,6.0
"worst app had to wait over an hour to get my food and not once, but multiple times it's better to just purchase from local shops",Zomato Food Delivery,Food & Beverage,Medium,7.0
Yes Bank forced me to buy insurance for my home loan. This is unethical! Pure loot macha rakhi hai.,Yes Bank Home Loan,Banking,High,9.0
"Forget about decent customer service. I've had orders delayed by an hour and they don't give a f. I've literally had customer service LIE to me and then vanish when it came to give a refund. Keeping an AI doesn't not help your customer and telling them to call the driver/restaurant does not ducking help. Also, bring back the cancellation window so the customer has some hecking control to change a mistake.",Zomato Food Delivery,Food & Beverage,High,8.5
"✅ Trip Verified |  I travelled in AI 309 Melbourne to New Delhi. It’s one of the most mediocre Business classes I ever travelled in. It is more like glorified Premium Economy. Some airlines premium economy is better than business class of Air India.  Enough Legroom and comfortable but Zero privacy to the extent you must share the table with the person sitting next to you. No storage whatsoever. Charging points not working. If you chose the windows seat, then then you must literally jump over the aisle seat person if they are sleeping. Inflight Entertainment: The inflight entertainment is laughable. If you are not Indian, you will have like 10 movies to chose from. TV shows have only one episode. No music to listen to. Food: Its typical Indian food be prepared for that. Service: They server two meals and a round of drinks of your choice. You will be asked for drinks twice only. Cost: it was slightly cheaper than other business class when I say slightly 1200AUD less than other flights. And I chose it, which is clearly a mistake. Will not recommend this carrier.",AirIndia,Aviation,Low,3.0
The sports shoes I bought from Decathlon started tearing from the sides within a month of light use. Poor quality product.,Decathlon Sports Shoes,Retail,Medium,5.0
Airtel postpaid bill mein unwanted VAS charges add kiye hain. Maine kabhi activate nahi kiye. Ye toh seedhi loot hai. Correct my bill!,Airtel Postpaid Billing,Tech & Telecommunications,High,8.0
"SBI Mobile Banking app is a disaster. Keeps logging me out, OTP issues. Can't transfer money. Kya jhand app hai!",SBI Mobile Banking,Banking,High,9.0
✅ Trip Verified |  It was a totally chaotic experience. No web check in from Vancouver as it is not in the drop down list.I called customer service and the poor lady could not help me much. The flight is totally basic. No inflight entertainment whatsoever. The seats are broken and dirty. No reading light or call button. Thankfully I was forewarned so I had downloaded movies for kids on their computers. I had booked seats with more leg space but despite me paying extra for this I did not get the chosen seats. This was frustrating. Nor will I get repaid for the extra fare I paid as now I dont have time to run after them. The heating system was overworking and the aircraft was boiling. When I asked staff to lower the temperature they were giving weird explanations that we are flying over north pole and temperature outside is minus 60. Finally one of them told me the aircraft is old and their was a technical glitch. The thermostat was not working. The saving grace was that most of the staff was hospitable and felt embarrassed by the poor quality aircraft themselves. They commiserated with us as they were not responsible for the poor quality provided by AI. The lady next to me helped me with my frustrated tired kids. On the whole I would not recommend this flight. New management has a huge task ahead of them.,AirIndia,Aviation,High,9.0
why they give us order cancel option? to manipulate us? full amount grab by them,Zomato Food Delivery,Food & Beverage,High,8.0
"Bought a phone cover from a local shop, they charged double and it broke the next day. Looters!",Local Shop Phone Cover,Retail,Medium,6.5
"Croma se mixer grinder liya tha, pehli baar mein hi kharab ho gaya. Warranty claim nahi le rahe. Total wastage of money!",Croma Home Appliances,Retail,High,8.5
Credit card statement mein galat charges aaye hain ₹1500 ke. Complaint kiya par koi action nahi le raha. Bakwas service!,Standard Chartered Credit Card,Banking,High,9.0
Very bad service,Zomato Food Delivery,Food & Beverage,Low,3.0
"✅ Trip Verified |  Very poor service provider. Flight is being rescheduled without any information. Complete waste of time And energy.  No assisting in airport also. As per govt guidelines web check in is mandatory before one hour of flight, but they are charging for seat selection. I bought the ticket them why would I pay extra for seat selection. I don’t want any preferred seat you can assign me any seat during web-check in. But i paid Rs 250. I tried for more than 22 times to reach to the customer care support, they kept me in hold and cut the call without connecting to any customer support executives. Very pathetic service, will not prefer travel by Go first nor suggest any one.",Go First,Aviation,High,8.5
"I have Axis Bank Saving account which i am using for the past 4 to 5 years .I am using net banking service as well as mobile banking service both are very  much comfortable to use.I am using this service for money transfer ,recharge and for online shopping.Customer service is also good and according to me the service is average.",Axis Bank,Banking,Low,1.0
✅ Trip Verified |  I booked my flight 2 weeks in advance and just one week before the departure they have cancelled it for no reason. Now if i have to book another flight it cost me 4 times more.  They are just fooling people so we end up paying extra for a different flight who is a sister company of theirs.,Go First,Aviation,High,9.5
"Not Verified | The worst airline I have traveled with so far! Long delays are just norm for this airline. Very old planes, broken entertainment system. Least help from ground crew. Super unorganized check-in process",AirIndia,Aviation,High,7.5
"✅ Trip Verified |  I was flying from Dubai to Bangalore and the luggage policy is 30 kgs check-in and 7 kgs hand luggage.  My check-in luggage was 22 kgs and I thought I would move my extra kgs to the check-in, but at the check-in counter, even though I put both pieces of luggage together the guy told me, it’s ok, you can put it down and didn’t ask to measure my hand luggage which is what they normally do. However, after immigration and security, just when I was about to board the flight, they had another scale and were measuring the handbags and wanted me to pay 60 AED (1100 Rs) per kg. They said if I don’t pay I cannot get on the flight. They were even charging people for stuff they bought in Duty-free.",IndiGo,Aviation,High,8.0
Minor's account se paisa nahi nikalne de rahe. Guardianship documents submit kiye the. Rules change kar diye kya?,South Indian Bank Minor Account,Banking,High,9.0
"Not Verified |  Ridiculous experience with Air India flight from London to Delhi. I was supposed to board the flight from London on 15th Aug at 12:15 PM scheduled for departure at 1:15 PM. I already did check-in (tagged my bags and collected my boarding pass) well before time and just had to do our baggage drop at the counter. It was still 2 minutes left for the baggage counter closure at 12:13 PM but the lady on the Air India baggage counter D19 denied to take the bag saying that I am late and the counter is closed now. I requested her very politely for help but there wasn't even an effort for help. She rudely asked me to go to Ticket Counter and when I did, Air India executive asked me to cancel my current check in and pay late fees (saying that I have to show as if I didn't turn up for the flight and came just before the flight take off) and then pay additional fee for reschedule. It was a hefty amount of £200 that was charged from me in addition to take another flight. It's a big shame on the Air India service.",AirIndia,Aviation,High,9.0
"✅ Trip Verified |  I travelled with Air India for return flight on March 6th, 2023 from Delhi to Tokyo. I had an additional luggage for which they made me pay $400CAD for only one 23kg bag, which unacceptable. As my ticket says $100 per additional luggage and that's exactly what I paid when departed from Canada on Jan 15th, 2023. I showed them the ticket and reminded them about the fee and the agent at Delhi Airport was like you have to pay $400 CAD else you can leave your luggage or dispute the amount after your trip. There has to be a consistency what they say and what they issue on a ticket. I will not fly with Air India again, as neither their inflight service is good nor the charges they make us pay on time. Worst experience ever.",AirIndia,Aviation,High,8.5
"Not Verified |  The worst airline I have ever experienced. The ground staff is very rude. And most of the time the In Flight Entertainment doesn't work. The call button in the flight doesn't work, it took me 20 minutes to call a flight attendant. The food is horrible. The seats are very unhygienic, the tray table is also very dirty. After arriving on the airport, it took 30 minutes just for the first bag to come, and when I received mine, it was a bit damaged from the side. Terrible airline, won't fly Air India again.",AirIndia,Aviation,High,8.0
"Prices are way above the restaurant rates, we understand convenience but delivery charges more than item rates, plus the other charges is too much to accept.. I checked on another app the the bill was half from the one listed here.",Zomato Food Delivery,Food & Beverage,Medium,6.0
"Branch mein cashier bahut slow hai. Ek simple withdrawal mein 20 minute lag gaye. Line itni lambi thi, time barbaad!",HDFC Branch Service,Banking,Low,3.0
"Not Verified |  The flight was old and everything in it showed ageing. The plastics were cracked, upholstery stained, cushions rock solid, paint peeling. The entertainment screen was not working and when asked the air hostess replied that it’s complaint in almost half of the flight. This happened on our way to and back. This is the first time we are travelling in Air India. In air India even on a £800 ticket (there were 6 of us including a 2yr old, so £4800 in total) you feel poor and wants to get out of it as soon as possible. There were not even a colour pencil to entertain a 2yr old, I shouldn’t be complaining about that, should be glad we even got a seat (not comfortable though) to sit for 8hrs. The food was heavily salted and tasted cheap.  The flights were not on time (affected the transit time, so we had to run from one flight to next) but I not as bad as I heard before, at least Tata taking over has done some good. London via Delhi is not a good idea. When you come from London you need to check out and check in your luggage at Delhi again, so that takes min 2hrs in transit time (not to mention the porters and staff at Delhi trying to scam you) and you will almost miss your next flight of the first one was late to arrive in Delhi. It was a nightmare for us, especially travelling with a child. What an embarrassment to Indians!",AirIndia,Aviation,High,8.5
"✅ Trip Verified |  Ahmedabad to Delhi . I am travel agent from Gandhinagar, Gujarat. I have recently travelled with my family first time with your company. It was worst of worst experience to fly with SpiceJet. On the airport Sign board only Spicejet flights were late, and due to the delayed flight we missed our Sightseeing and reached hotel very late! I dont understand why only Spicejet flight has many problems.  I will never recommend Spicejet to all clients.",SpiceJet,Aviation,High,8.0
I loved the application but one experience spoiled the complete image.,Zomato Food Delivery,Food & Beverage,Low,2.0
"switching to Swiggy, better service, better product, better restuarants. this app is only good for notifications.",Zomato Food Delivery,Food & Beverage,Low,4.0
"✅ Trip Verified | Goa to New Delhi. My flight I5 799 got cancelled at the last moment. Then my ordeal started to reschedule it. The customer service is totally poor. I called 6-7 times and each person gave a different story. I did a web check in before the flight got cancelled. It took them 8.5 hours to uncheck and they kept me sleepless throughout the night saying give them a call after half an hour so that they can reschedule. They don’t have any coordination and they live in a different world isolated from customers. My dream Goa trip ended a nightmare because of this poor, unorganised, stupid care persons of this worst air line. Never ever go with Air Asia!",AirAsia India,Aviation,High,9.5
"Bought shoes from Ajio, received wrong size. Ab return karne mein itna jhamela. Worst online shopping experience.",Ajio Footwear,Retail,Medium,7.0
"Flipkart se naya LED TV mangwaya, screen poori crack ho gayi! Ghatiya packaging! Paise barbaad ho gaye mere.",Flipkart Electronics,Retail,High,9.0
"Not Verified |  Madurai to Chennai. My flight was for 50 minutes and cabin crew was not even attentive to give water. All the food available in catalogue was not served. Every time we ask for any choice of the food, crew asked me to show on the menu. Pathetic service and too costly for short trip.",SpiceJet,Aviation,Medium,5.0
"✅ Trip Verified |  It's better to not fly if this is the last option for you to fly. The flight is delayed is no reason. The time of delay is never communicated. The duration of delay can ever extend. And the biggest issue is that they won't ever approach or be available to address the concerns of the passengers. The response to why the delay happened will be so technical that you will wish to not have asked for it. The staff is rude and arrogant. In short, avoid this at all costs unless you have nothing to do on the day you wish to fly and are okay to spend time walking around the airport or spend time shopping at the airport.",SpiceJet,Aviation,High,8.5
"No option to chat or talk with customer support. I once ordered food by mistake on another address, there was no option to cancel my order. Nor there was any confirmation for address before ordering. I tried to contact customer support, but it simply kept redirecting me to AI chat bot.",Zomato Food Delivery,Food & Beverage,Medium,6.0
"Scammers, deliver rotten food for premium prices and when we report you guys act like scammers. try to earn money with respect not by fooling people around",Zomato Food Delivery,Food & Beverage,High,9.5
"Not Verified |  I had journey with this flight on date 13th April and 17th April. Flight of 13th April was delayed 3 times and of 17th april was cancelled by their end. The airline has no value for customers' time. They are not even concerned to make arrangements when there is any delay or cancellation from their end. As they said, customers get a 100% refund, they don't give that. Dear Airline- Why do you guys cut the airline charges for the flight which is canceled by your end? And you are not bothered about passengers' safety, as delaying by your side made me land late at night and I was traveling alone, I had another journey after landing in Nagpur. Since initially the flight timing was at 6 pm which was going to reach Nagpur by 7.30 pm and was very feasible for me but you delayed it so long and so many times is such a bad service you guys give. I will not recommend anyone this flight to go anywhere. Because you don't value your customers, their time their money.",Go First,Aviation,High,9.0
cant cancel order even if there is a delay. my order was delayed by 25 minutes. and there is no way to cancel the order and it is like a trap.you pay money to get service and then it is their convenience whether to refund or not. on top of that you have to negotiate with the customer care to cancel the order and they will not allow you. pathetic customer service. it is nothing less than fraud,Zomato Food Delivery,Food & Beverage,Medium,7.0
"This app is absolutely disappointing. It neither refunds the money after canceling an order nor allows you to get the same order back. Even if someone cancels by mistake, they don’t bother to resend the order. Totally unprofessional service.",Zomato Food Delivery,Food & Beverage,Medium,6.5
"✅ Trip Verified |  I booked a ticket with Go First on the 18th of Feb, 2022 for a friend who was travelling the next day. I chose to book on the airline's website instead of a third party. The payment got immediately deducted from my account. But Go Air kept telling us that they haven't received any payment and didn't confirm the PNR. I waited with faith until the next day. In the meanwhile, I was trying to reach them via phone call, I called every phone number of Go First available, none of them responded. I contacted them via Twitter, but they kept giving me hopes that they are looking into the issue. Finally my friend reached the airport and checked at the sales/service counter at Delhi airport. They confirmed that they haven't received any payment and we have to book for the next available flight. Ultimately we booked with another airline, my friend waited for 12 long hours and travelled with another airline. I disputed the payment in my European bank, and since it was Europe, I received my money back after a month. Surprisingly, they deducted the same amount again the very same day, without me trying to do any payment online. Their payment page and internal processes needs a complete revamp.",Go First,Aviation,High,9.5
"Not Verified |  Worst flight experience, which includes boarding airport service etc. Even if you have to pay extra dollars please prefer to use any other airlines. Never had this flight experience anywhere before. Poor customer care, grumpy hostess, unhygienic food. They don’t care about passengers.",AirIndia,Aviation,High,8.0
"✅ Trip Verified |  The flight was scheduled at 5.55am from Bangalore and I reached the boarding pass counter at 5.07am but staff at counter has denied to give boarding pass and yet flight was not departed. The staff at counter saying you are late. This is first time i was travelling alone and such a rude behavior from Go First staff spoiled my journey, staff suggested to pay more for next flight at evening. I will never ever recommend this flight to anyone and very mush disappointed from the staff behavior and service.",Go First,Aviation,High,8.5
✅ Trip Verified |  Totally uncomfortable seats and again entertainment system is not working and even power outlet is not working. This is my 3rd trip and same all 3 times. Seems like this is my last flight with Air India. No value for money.,AirIndia,Aviation,Low,4.0
Repeated unsolicited promotional SMS and calls from Vi despite DND activation. Mental harassment!,Vi Telemarketing,Tech & Telecommunications,High,7.5
"Every afternoon i used to order from zomato. But now i have stopped ordering from here bevause restaurant which is 1 km away from my home, zomato deliver my order in 53 minutes while I myself get it in 10 mins. Previously zomato's service was quick.",Zomato Food Delivery,Food & Beverage,Medium,5.0
"Bank branch mein itni bheed hai, pura din barbaad. No proper staff to handle.",ICICI Bank Branch Service,Banking,Low,3.0
"Customer care ko 30 minute se call kar raha hu, koi answer hi nahi kar raha. Bas music baj raha hai, frustration ho rahi hai!",PNB Customer Service,Banking,Low,3.5
My Flipkart order showed 'delivered' but I never received it. Customer service just gives standard replies. Chor hain sab!,Flipkart Package,Retail,High,8.0
"Vijay Sales se washing machine li thi, delivery time pe nahi aayi. Upar se customer service wale bol rahe hain 'wait karo'. Kitna wait karein?",Vijay Sales Washing Machine,Retail,Medium,6.0
Worst service. Doesnot help customer in case of wrong order. Has their own ai chat only. Worst worst and worst. paying for the membership as well and received such worst service. If you are not capable to provide service then close the business and let others provide service.,Zomato Food Delivery,Food & Beverage,Medium,7.0
✅ Trip Verified |  We are fly to Delhi with family. When we reached airport on time they tell that the flight is late 15 hours. They say come back 12.00 night. Technically our flight morning 10 am. They check in our luggage. After they did not have any voucher where you stay. They did not give any food voucher. We pay our food. Pay for hotel to stay. They did not say apologies or compensation. We call customer service few times and they say we can not do anything. In the future we will not fly this airline.,AirIndia,Aviation,High,9.5
"Bought an expensive watch from Ethos, it stopped working within a month. Now they are saying it's not covered in warranty. Looted!",Ethos Watch,Retail,High,8.5
"worst experience, make cash on delivery available",Zomato Food Delivery,Food & Beverage,Low,2.0
Zomato app keeps crashing on my Android phone. Can't even place an order properly. Useless app update.,Zomato App,Tech & Telecommunications,Medium,6.0
✅ Trip Verified |  Bangalore to Hyderabad. Worst experience. No proper response from the SpiceJet team. In the check in queue all not sending passengers in queue . Least bothered staff. Also flight got delayed by 30 mins but no information until asked. When I went and asked they are telling like we updated in the board but they updated the time I asked. Unprofessional people. Really very bad and worst experience.,SpiceJet,Aviation,High,8.0
"Returned an item to Max Fashion, still waiting for the refund after 15 days. Har din naya bahana. Money blocked, what to do?",Max Fashion Apparel,Retail,High,9.0
missed items and didn't even respond to complaint,Zomato Food Delivery,Food & Beverage,Medium,7.0
"Order misplaced every time,"" WORST APP EVER"" , please don't use this app... and check the order before you pay",Zomato Food Delivery,Food & Beverage,High,8.5
Customer care number not working properly. Call connect hi nahi ho raha. Kya fayda aise bank ka?,Federal Bank Customer Care,Banking,High,9.0
"✅ Trip Verified | Probably the worst airline experience I've ever had. While flying from Sydney to Delhi, no gluten free food was available despite it being confirmed on the air ticket. While returning, only one of the three in flight entertainment systems were working in our row. That's 12.5 hours of staring at a screen that doesn't work with nothing else to do. This is also despite having paid close to $7000 for our flights. Complete waste of money - unlikely to ever fly with them again.",AirIndia,Aviation,High,8.0
"✅ Trip Verified |  I came to the gates at 6pm on April 1, 2024 for the 7:30pm flight. It’s April 2, 2024 and I’m still at the airport to board another flight as I’ve never seen such an irresponsible set of staff. It was a day when many Vistara flights were delayed or either cancelled. When they were not onboarding even after 7pm, when we asked the officer at the gate, he informed that the flight is delayed and will take off by 11:30pm. Till we asked, no updates were given by the Vistara staffs. The flight status was showing “on time” and “security” even at 8pm. The flight arranged dinner for us and by 11:50pm, we were on-boarded to the flight. But the flight didn’t take off even at 12:30am on April 2, 2024. When checked with the cabin crew, they informed that the captain of the flight parked the flight and went away. Now only first officer is available. And they are waiting for another captain to come and take the flight. The cabin crew also has been waiting since 6pm on April 1, 2024. Then the first officer (very helpful and gentle man) informed us that by 1:15am he will inform us the decision of the flight is going or getting cancelled. By 1:30am we were informed the flight is rescheduled to 5am. When we asked for confirmation that f the flight, they said they cannot confirm until 4am. Only then they can know if any captain can come and fly the plane to Kochi. So they de-boarded us from the plane and we were sent to the arrival area to reclaim our baggage. In the flight we were informed if we need a refund, it will be done at the arrival. When we reached the arrival, we came to know that no such information is given to the arrival. So we strongly asked for a cancellation and confirmation on refund. They were not willing to give the confirmation. I said I need the confirmation of refund. Finally the staff at the arrival got a WhatsApp message of my PNR full refund confirmation. I booked another Indigo flight to Kochi at 10:10am and I’m at the airport since yesterday 6pm. Just now while typing this message, I got a call from Vistara that the flight which was supposed to leave at 5am did not go yet and now they are ready to fly to Kochi. I asked what was the purpose of the call? They informed me the flight is only left with 6 passengers (it was almost a full flight) and if we are willing, they are ready to take us. I said no. Had they properly updated all passengers from time to time, they could have avoided this issue and such a hat-redness towards this airlines. I was supposed to reach my home at 10:30pm yesterday. Who will take responsibility of the stress and strain I went through?",Vistara,Aviation,High,10.0
"Myntra se dress mangwai, phati hui aayi. Ghanta quality! Paise barbaad ho gaye.",Myntra Dress,Retail,Medium,7.5
Not Verified | Toronto to Delhi. My flight was cancelled without any information. Called up customer service and they were extremely rude. Horrible communication skills. I am still unsure when my flight is scheduled for. Pathetic airline. Disgusted.,AirIndia,Aviation,High,9.5
ATM se phate hue note nikle. Bank branch mein change karne se mana kar diya. Meri to barbaadi ho gayi!,Allahabad Bank ATM,Banking,High,9.0
✅ Verified Review |  Singapore to Chennai. Worst airline ever. Old plane bad seats. Extremely rude staff. Never go for thsi airline price go for expensive one u will regret when u fly from this airline. I will never fly again. Told me to turn off phone even when its on flight mode.,Air India Express,Aviation,Medium,5.0
"Passbook update karne gaya, machine kaam nahi kar rahi thi. Branch mein bolte hain manual nahi karenge. Kya faida?",Punjab & Sind Bank Passbook,Banking,Low,3.0
